"","sex","birth","marriage","religion","income","code_job","code_region"
"1",2,1936,2,2,NA,NA,1
"2",2,1945,2,1,NA,NA,1
"3",1,1948,2,2,NA,NA,1
"4",1,1942,3,1,NA,762,1
"5",2,1923,2,1,NA,NA,1
"6",1,1962,1,1,NA,530,1
"7",2,1963,1,1,NA,NA,1
"8",2,2003,0,1,NA,NA,1
"9",1,1927,1,1,NA,NA,1
"10",2,1934,1,1,24,941,1
"11",2,1940,2,1,22,999,2
"12",2,1970,3,1,NA,NA,1
"13",2,1992,5,1,NA,NA,1
"14",1,1940,1,2,NA,NA,1
"15",2,1941,1,2,NA,NA,1
"16",1,1962,5,1,NA,NA,1
"17",1,1978,1,2,322,312,1
"18",2,1975,1,2,150,254,1
"19",2,2004,0,2,NA,NA,1
"20",2,2008,0,2,NA,NA,1
"21",1,1941,1,1,NA,NA,1
"22",2,1942,1,1,90,510,1
"23",1,1964,5,2,NA,530,1
"24",2,1940,2,2,NA,NA,1
"25",1,1975,5,1,NA,521,1
"26",1,1978,1,2,NA,151,1
"27",2,1982,1,2,NA,521,1
"28",2,1961,1,2,117,951,1
"29",1,1961,1,2,NA,773,1
"30",2,1986,5,2,258,399,1
"31",2,1962,1,1,140,941,1
"32",2,1985,4,1,160,313,1
"33",1,1992,5,1,157,442,1
"34",1,1952,1,1,NA,773,1
"35",2,1961,3,1,NA,951,1
"36",2,1982,1,1,NA,NA,1
"37",1,1984,1,1,NA,521,1
"38",1,1971,5,1,350,873,7
"39",2,1945,2,2,NA,NA,7
"40",1,1943,2,1,NA,NA,1
"41",2,1939,2,1,NA,NA,1
"42",2,1945,2,1,NA,NA,1
"43",1,1975,5,1,NA,NA,1
"44",1,1972,1,1,NA,NA,1
"45",2,1974,1,1,542,320,1
"46",2,2006,0,1,NA,NA,1
"47",2,2006,0,1,NA,NA,1
"48",1,1980,5,2,210,442,1
"49",2,1954,3,2,260,951,1
"50",2,1941,2,1,NA,NA,1
"51",1,1955,1,2,NA,151,1
"52",2,1961,1,2,NA,NA,1
"53",2,1983,5,2,NA,NA,1
"54",1,1985,5,2,255,312,1
"55",1,1972,1,2,200,313,1
"56",2,1973,1,2,NA,NA,1
"57",1,2004,0,2,NA,NA,1
"58",1,1926,1,2,NA,NA,1
"59",2,1936,1,2,NA,NA,1
"60",1,1968,5,2,239,842,1
"61",2,1940,2,2,NA,NA,1
"62",2,1982,1,1,NA,NA,2
"63",1,1976,1,2,168,873,2
"64",1,2010,0,1,NA,NA,2
"65",2,2012,0,1,NA,NA,2
"66",2,1937,3,1,25,941,1
"67",2,1942,2,2,NA,NA,1
"68",1,1973,1,2,234,510,1
"69",2,1974,1,2,NA,NA,1
"70",2,2009,0,2,NA,NA,1
"71",1,1959,1,2,228,852,1
"72",2,1967,1,2,132,930,1
"73",2,1995,5,2,167,312,1
"74",2,1998,5,2,160,521,1
"75",1,1955,1,1,175,991,1
"76",2,1958,1,1,NA,NA,1
"77",1,1982,5,1,253,530,1
"78",1,1968,1,1,1026,312,1
"79",2,1970,1,1,NA,NA,1
"80",1,1994,5,1,NA,930,1
"81",1,1999,5,1,NA,NA,1
"82",1,1973,1,1,737,312,1
"83",2,1975,1,1,NA,NA,1
"84",1,2004,0,1,NA,NA,1
"85",2,2007,0,1,NA,NA,1
"86",1,1950,1,2,260,991,5
"87",2,1956,1,2,NA,NA,5
"88",1,1930,1,2,NA,NA,1
"89",2,1938,1,2,NA,NA,1
"90",2,1962,2,1,106,422,1
"91",2,1991,5,1,155,422,1
"92",2,1959,2,1,NA,NA,1
"93",2,1989,5,2,200,285,1
"94",2,1995,5,2,84,314,1
"95",2,1997,5,2,32,521,1
"96",2,1982,5,2,211,921,5
"97",2,1985,5,2,258,441,5
"98",2,1957,4,2,62,399,5
"99",2,1955,4,2,NA,NA,5
"100",1,1975,5,2,290,921,5
"101",1,1947,1,1,168,851,1
"102",2,1956,1,1,NA,NA,1
"103",1,1980,5,1,616,235,1
"104",1,1954,1,1,270,773,1
"105",2,1960,1,1,NA,NA,1
"106",1,1978,5,1,355,312,1
"107",2,1983,5,1,158,313,1
"108",1,1981,5,1,361,159,1
"109",2,1946,2,2,NA,NA,1
"110",1,1965,1,1,210,721,1
"111",2,1968,1,1,150,721,1
"112",2,1998,5,2,NA,NA,1
"113",2,2001,0,2,NA,NA,1
"114",1,1958,1,1,324,772,1
"115",2,1959,1,1,NA,NA,1
"116",1,1988,5,1,NA,NA,1
"117",1,1991,5,1,230,442,1
"118",2,1985,5,1,NA,NA,1
"119",1,1960,1,1,245,941,1
"120",2,1960,1,1,169,722,1
"121",1,1987,1,1,305,863,2
"122",2,1989,5,1,NA,NA,1
"123",2,1986,1,1,NA,NA,2
"124",1,2013,0,1,NA,NA,2
"125",1,1961,3,2,170,910,2
"126",2,1992,5,2,105,392,2
"127",2,1996,5,2,NA,NA,2
"128",2,1933,2,2,NA,NA,2
"129",1,1967,3,2,67,922,1
"130",2,1994,5,2,NA,521,1
"131",1,1934,6,2,NA,NA,1
"132",2,1937,2,2,NA,NA,1
"133",1,1956,1,1,1820,151,2
"134",2,1960,1,1,NA,NA,2
"135",2,2004,0,1,NA,NA,2
"136",2,1934,2,1,NA,NA,2
"137",1,1935,1,2,NA,NA,1
"138",2,1941,1,2,NA,NA,1
"139",1,1936,1,1,NA,NA,1
"140",2,1940,1,1,NA,NA,1
"141",1,1957,1,2,346,773,1
"142",2,1960,1,2,NA,NA,1
"143",1,1983,5,2,255,899,1
"144",1,1950,1,1,234,873,1
"145",2,1953,1,1,153,941,1
"146",1,1962,1,2,NA,431,1
"147",2,1963,1,1,150,951,1
"148",2,1989,5,2,300,285,1
"149",1,1992,5,2,NA,NA,1
"150",1,1959,1,2,NA,875,1
"151",2,1961,1,2,NA,NA,1
"152",2,1990,5,2,308,312,1
"153",1,1954,1,1,186,862,1
"154",2,1955,1,1,NA,NA,1
"155",2,1989,5,1,215,243,1
"156",1,1971,1,2,NA,NA,1
"157",2,1977,1,2,NA,NA,1
"158",2,2000,0,2,NA,NA,1
"159",1,2002,0,2,NA,NA,1
"160",1,2004,0,2,NA,NA,1
"161",2,2014,0,2,NA,NA,1
"162",2,1939,2,1,NA,NA,1
"163",1,1949,1,2,NA,NA,1
"164",2,1954,1,1,150,521,1
"165",1,1978,1,1,447,311,2
"166",2,1982,1,1,NA,NA,2
"167",2,2014,0,2,NA,NA,2
"168",1,2016,0,2,NA,NA,2
"169",1,1942,1,1,NA,NA,1
"170",2,1949,1,1,NA,NA,1
"171",1,1998,5,2,NA,NA,1
"172",2,1980,1,2,NA,NA,1
"173",1,1980,1,2,504,222,1
"174",2,2016,0,2,NA,NA,1
"175",1,1975,1,2,744,223,1
"176",2,1974,1,2,516,252,1
"177",2,2006,0,2,NA,NA,1
"178",2,2008,0,2,NA,NA,1
"179",2,2011,0,2,NA,NA,1
"180",2,1957,3,2,160,421,5
"181",2,1943,2,1,110,941,1
"182",1,1973,5,1,280,521,1
"183",1,1960,1,1,417,314,1
"184",2,1966,1,1,167,510,1
"185",2,1943,2,1,45,941,1
"186",2,1971,1,1,100,259,1
"187",2,1998,5,2,NA,NA,1
"188",2,1999,5,2,NA,NA,1
"189",1,1968,1,2,250,771,1
"190",1,1958,1,1,275,721,1
"191",2,1958,1,1,NA,NA,1
"192",1,1986,1,2,207,159,1
"193",1,1984,5,1,258,245,1
"194",2,1984,1,2,NA,NA,1
"195",1,2013,0,2,NA,NA,1
"196",1,1966,1,1,456,862,1
"197",2,1968,1,1,NA,NA,1
"198",1,2000,0,1,NA,NA,1
"199",1,1974,1,2,253,773,1
"200",2,1973,1,2,167,930,1
"201",2,2003,0,2,NA,NA,1
"202",1,2004,0,2,NA,NA,1
"203",1,1959,1,1,264,741,1
"204",2,1959,1,1,162,441,1
"205",2,1984,1,2,NA,NA,2
"206",1,1986,1,1,317,312,1
"207",1,1979,1,2,608,285,2
"208",1,1960,1,2,154,941,1
"209",2,1960,1,1,74,941,1
"210",1,1988,5,2,210,510,1
"211",1,1985,5,2,427,221,1
"212",2,1960,4,1,160,953,1
"213",1,1987,5,1,150,152,1
"214",2,1943,4,1,85,941,1
"215",2,1971,5,2,236,422,1
"216",1,1959,1,2,NA,873,1
"217",2,1965,1,2,50,442,1
"218",1,1987,5,2,207,521,1
